Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
United,Dallas-Fort Worth,1216,上午10:40,上午10:40,On Time,3,73
United,Eugene,1513,上午10:40,上午10:40,On Time,3,63
United,Cleveland,2262,上午10:40,上午10:40,On Time,3,81
United,Kansas City,5256,上午10:40,上午10:40,On Time,3,79
United,San Antonio,5334,上午10:40,上午10:40,On Time,3,76
United,Albuquerque,5448,上午10:40,上午10:40,On Time,3,77B
United,Eureka,5759,上午10:40,上午10:40,On Time,3,84D
United,St. Louis,1477,上午10:42,上午10:42,On Time,3,82
United,Redmond,5541,上午10:42,上午10:42,On Time,3,71A
United,Tokyo/Haneda,875,上午10:45,上午10:45,On Time,Int'l,G91
Interjet,Guadalajara,821,上午10:45,上午10:45,On Time,Int'l,
Delta Air Lines,Los Angeles,664,上午10:45,上午10:45,On Time,1,46
Delta Air Lines,Minneapolis,1938,上午10:45,上午10:45,On Time,1,43
United,Beijing,888,上午10:45,上午10:45,On Time,Int'l,G98
United,Boston,1865,上午10:45,上午10:45,On Time,3,80
United,Portland,2166,上午10:45,上午10:45,On Time,3,67
United,Denver,223,上午10:50,上午10:50,On Time,3,87
American Airlines,Charlotte,2183,上午10:50,上午10:50,On Time,2,56A
United,Austin,701,上午10:50,上午10:50,On Time,3,75
United,Chicago/O'Hare,1900,上午10:50,上午10:50,On Time,3,70
Alaska Airlines,Las Vegas,1904,上午10:50,上午10:50,On Time,2,53
United,Chicago/O'Hare,277,上午10:55,上午10:55,On Time,3,64
United,Honolulu/Oahu,1122,上午10:55,上午10:55,On Time,3,83
Alaska Airlines,Los Angeles,1972,上午11:00,上午11:00,On Time,2,59A
United,Los Angeles,256,上午11:00,上午11:00,On Time,3,61
United,Washington/Dulles,309,上午11:00,上午11:00,On Time,3,66
United,Kahului,1273,上午11:01,上午11:01,On Time,3,85
United,PAE,5871,上午11:01,上午11:01,On Time,3,77A
Southwest,Las Vegas,1893,上午11:05,上午11:05,On Time,1,B18
United,Osaka/Kansai,35,上午11:05,上午11:05,On Time,Int'l,G96
United,Salt Lake City,5333,上午11:06,上午11:06,On Time,3,71B
United,Singapore,29,上午11:10,上午11:10,On Time,Int'l,G100
United,Indianapolis,317,上午11:10,上午11:10,On Time,3,72
Alaska Airlines,Puerto Vallarta,972,上午11:10,上午11:10,On Time,2,54B
United,Orange County,631,上午11:10,上午11:10,On Time,3,74
United,Reno,5911,上午11:11,上午11:11,On Time,3,84C
United,Newark,535,上午11:15,上午11:15,On Time,3,86
Delta Air Lines,New York/JFK,757,上午11:15,上午11:15,On Time,1,40
United,Nashville,1830,上午11:15,上午11:15,On Time,3,88
American Airlines,Philadelphia,651,上午11:15,上午11:15,On Time,2,45A
JetBlue,New York/JFK,416,上午11:17,上午11:17,On Time,1,B6
Delta Air Lines,Atlanta,2049,上午11:20,上午11:20,On Time,1,41
American Airlines,New York/JFK,16,上午11:24,上午11:24,On Time,2,57
United,Houston/Intercontinental,507,上午11:25,上午11:25,On Time,3,62
Air India,Bangalore,174,上午11:30,上午11:30,On Time,Int'l,
United,Denver,267,上午11:30,上午11:30,On Time,3,65
Alaska Airlines,Portland,427,上午11:30,上午11:30,On Time,2,52
Singapore Airlines,Singapore,31,上午11:30,上午11:30,On Time,Int'l,
United,Tokyo/Narita,837,上午11:30,上午11:30,On Time,Int'l,G101
Delta Air Lines,Detroit,745,上午11:35,上午11:35,On Time,1,42
Alaska Airlines,San Diego,1952,上午11:35,上午11:35,On Time,2,51A
JetBlue,Boston,334,上午11:36,上午11:36,On Time,1,B7
Frontier Airlines,Atlanta,806,上午11:39,上午11:39,On Time,Int'l,A10
Southwest,Los Angeles,3781,上午11:40,上午11:40,On Time,1,B12
United,Spokane,5243,上午11:43,上午11:43,On Time,3,77B
United,North Bend,5685,上午11:44,上午11:44,On Time,3,84D
Alaska Airlines,Orange County,3488,上午11:50,上午11:50,On Time,2,53
United,Phoenix,1664,上午11:51,上午11:51,On Time,3,81
Air Canada,Calgary,8578,上午11:55,上午11:55,On Time,Int'l,G91
United,Medford,5455,上午11:55,上午11:55,On Time,3,84B
Southwest,St. Louis,1819,上午11:55,上午11:55,On Time,1,B13
American Airlines,Dallas-Fort Worth,1260,上午11:57,上午11:57,On Time,2,56B
United,Burbank,2128,上午11:58,上午11:58,On Time,3,73A
Alaska Airlines,Los Angeles,1926,下午12:00,下午12:00,On Time,2,55
China Eastern,Shanghai,590,下午12:00,下午12:00,On Time,Int'l,A8
United,Oklahoma City,5585,下午12:05,下午12:05,On Time,3,76
Alaska Airlines,PAE,2827,下午12:05,下午12:05,On Time,2,51B
Alaska Airlines,Honolulu/Oahu,743,下午12:10,下午12:10,On Time,2,52
Southwest,Phoenix,2315,下午12:10,下午12:10,On Time,1,B17
Air Canada,Toronto,738,下午12:10,下午12:10,On Time,Int'l,G93
Delta Air Lines,Seattle,2429,下午12:14,下午12:14,On Time,1,48
Delta Air Lines,Boston,2488,下午12:15,下午12:15,On Time,1,46
United,Newark,2319,下午12:15,下午12:15,On Time,3,86
United,Santa Barbara,5325,下午12:15,下午12:15,On Time,3,84C
All Nippon Airways,Tokyo/Narita,7,下午12:15,下午12:15,On Time,Int'l,G94
Alaska Airlines,Seattle,1751,下午12:20,下午12:20,On Time,2,54B
American Airlines,Phoenix,1880,下午12:24,下午12:24,On Time,1,45B
Hong Kong Airlines,Hong Kong,61,下午12:25,下午12:25,On Time,Int'l,
United,London/Heathrow,901,下午12:25,下午12:25,On Time,Int'l,G98
Alaska Airlines,Nashville,1100,下午12:25,下午12:25,On Time,2,50A
AeroMexico,Guadalajara,663,下午12:30,下午12:30,On Time,Int'l,A6
United,Los Angeles,433,下午12:30,下午12:30,On Time,3,68
United,Boise,5328,下午12:40,下午12:40,On Time,3,78
Korean Air,Seoul,24,下午12:40,下午12:40,On Time,Int'l,
United,Las Vegas,358,下午12:43,下午12:43,On Time,3,88
Alaska Airlines,Kona/Hawaii,869,下午12:45,下午12:45,On Time,2,54A
American Airlines,Miami,383,下午12:45,下午12:45,On Time,2,56A
Delta Air Lines,Minneapolis,1344,下午12:45,下午12:45,On Time,1,41
Delta Air Lines,Atlanta,1680,下午12:47,下午12:47,On Time,1,40
JetBlue,New York/JFK,516,下午12:47,下午12:47,On Time,1,B6
Delta Air Lines,Los Angeles,1405,下午12:50,下午12:50,On Time,1,46
Alaska Airlines,New Orleans,1394,下午12:50,下午12:50,On Time,2,50B
United,Denver,1135,下午12:52,下午12:52,On Time,3,80
United,Bozeman,1489,下午12:52,下午12:52,On Time,3,63
United,Chicago/O'Hare,1961,下午12:52,下午12:52,On Time,3,89
United,Sacramento,5482,下午12:54,下午12:54,On Time,3,84D
